,x,y,root
0,47.0,18.0,
1,29.0,70.0,
2,36.0,60.0,
3,61.0,95.0,
4,78.0,56.0,
5,41.0,35.0,
6,1.0,21.0,
7,48.0,40.0,
8,41.0,35.0,
9,73.0,45.0,
10,27.0,46.0,
11,40.0,54.0,
12,70.0,12.0,
13,74.0,52.0,
14,98.0,7.0,
15,48.0,4.0,
16,65.0,54.0,
17,91.0,76.0,
18,26.0,23.0,
19,63.0,75.0,
20,51.0,40.0,
21,22.0,97.0,
22,16.0,99.0,
23,47.0,41.0,
24,30.0,31.0,
25,45.0,26.0,
26,25.0,89.0,
27,84.0,3.0,
28,54.0,80.0,
29,12.0,40.0,
30,90.0,75.0,
31,41.0,70.0,
32,2.0,37.0,
33,9.0,12.0,
34,0.0,78.0,
35,56.0,60.0,
36,44.0,67.0,
37,12.0,72.0,
38,51.0,62.0,
39,98.0,42.0,
40,68.0,37.0,
41,27.0,82.0,
42,10.0,95.0,
43,7.0,90.0,
44,9.0,30.0,
45,34.0,16.0,
46,82.0,34.0,
47,51.0,72.0,
48,73.0,42.0,
49,8.0,94.0,
0,,,40.0
